state,cases
Alabama,11
Alaska,1
Arizona,15
Arkansas,4
California,53
Colorado,12
Connecticut,6
D.C.,2
Delaware,1
Florida,35
Georgia,18
Hawaii,2
Idaho,1
Illinois,15
Indiana,1
Iowa,2
Kansas,6
Kentucky,9
Louisiana,7
Maine,1
Maryland,4
Massachusetts,6
Michigan,12
Minnesota,6
Mississippi,6
Missouri,5
Montana,2
Nebraska,4
Nevada,7
New Jersey,5
New Mexico,7
New York,15
North Carolina,12
Ohio,12
Oklahoma,6
Oregon,6
Pennsylvania,11
South Carolina,8
South Dakota,1
Tennessee,10
Texas,29
Utah,4
Vermont,1
Virginia,12
Washington,20
West Virginia,1
Wisconsin,12
Wisconsin and Rothschild,1
Wyoming,1
